PUBID,REGION,CENDIV,PUBCLIM,SQFT,WKHRS,NWKER,NGUSED,FKUSED,PRUSED,SOUSED,NGHT1,NGGENR,PCTERM,WBOARDS,FLUOR,OCSN,DIM,MFEXP
565,2,3,2,62000,55,27,1,0,0,0,1,0,1,1,1,1,0,36088
645,1,2,2,74000,40,32,1,0,0,0,1,0,1,1,1,1,0,63775
725,3,7,7,31000,60,10,1,0,0,0,1,1,1,1,0,0,0,15357
730,4,9,4,154000,60,120,1,0,0,1,0,0,1,1,0,1,1,790383
739,1,2,2,365000,60,140,0,1,0,0,0,0,1,1,1,1,0,746497
792,3,5,3,24500,40,9,1,0,0,0,1,0,1,1,1,0,0,43064
805,3,5,3,150000,50,80,1,0,0,1,1,0,1,0,1,1,0,143183
821,3,5,5,112000,80,80,0,0,0,0,0,0,1,1,1,1,0,97084
837,3,7,5,800000,50,300,1,0,0,0,0,0,1,1,1,1,0,416408
845,1,2,1,300000,95,205,1,1,0,0,1,0,1,0,1,1,0,421545
892,1,2,1,110000,50,100,1,0,0,0,1,1,1,1,1,0,0,189199
901,3,6,4,108000,68,84,1,0,0,0,0,0,1,1,1,1,0,158276
939,4,8,5,280000,60,200,1,0,0,1,0,0,1,1,1,1,0,238888
951,1,2,2,250000,45,175,1,0,0,0,1,0,1,1,1,1,0,419154
1021,2,3,3,93000,60,55,1,0,0,0,1,0,1,1,1,0,0,121040
1026,3,6,4,150000,40,35,1,0,0,0,1,0,1,0,0,1,0,107497
1069,2,3,1,85000,40,37,1,0,0,0,1,0,1,0,0,1,0,31867
1104,2,3,2,154000,70,100,1,1,0,0,1,0,1,1,1,1,0,142008
1266,1,1,2,285000,92,90,0,1,1,0,0,0,1,1,1,1,1,1592904
1294,3,7,5,98000,45,100,1,0,0,0,1,0,1,1,1,1,1,59462
1296,4,9,1,39000,9,48,1,0,0,0,1,0,1,1,1,1,0,65878
1303,1,1,2,15000,60,2,1,0,0,1,0,0,0,0,1,1,0,23266
1352,4,9,4,1200,25,4,0,0,0,1,0,0,1,0,0,1,1,2682
1380,3,7,5,15000,68,17,1,0,0,0,1,0,1,1,1,0,0,19766
1381,1,2,3,128000,40,60,0,1,1,0,0,0,1,0,1,0,0,121124
1405,3,7,5,25000,50,19,0,0,0,0,0,0,1,0,1,0,0,16058
1473,1,1,2,65000,50,100,1,0,0,1,1,0,1,1,1,1,0,79813
1496,4,9,4,20000,45,16,1,0,0,0,1,0,1,0,0,1,0,65552
1515,2,3,2,134000,39,80,1,0,0,0,1,0,1,1,1,1,1,122104
1566,3,7,5,13000,10,24,0,0,0,0,0,0,1,1,1,1,1,14421
1586,4,8,5,73000,40,12,0,1,0,0,0,0,1,0,0,1,0,69449
1626,1,2,3,315000,70,150,1,1,0,0,0,0,1,1,1,1,1,189604
1659,4,9,3,6200,40,5,1,0,0,0,1,0,1,0,1,1,0,11968
1681,3,5,5,69000,40,40,0,0,0,0,0,0,0,1,1,1,0,39137
1686,4,9,4,35500,45,15,1,0,0,0,1,0,1,1,1,1,0,43987
1704,2,3,3,96000,45,44,0,0,1,0,0,0,1,1,1,1,0,55698
1716,4,9,4,35500,70,15,1,0,0,1,1,0,1,1,0,0,0,45434
1742,4,9,3,156000,45,75,1,1,0,0,1,0,1,0,1,1,0,126534
1790,4,8,2,57000,45,105,1,1,0,0,1,0,1,1,1,1,1,96000
1814,3,5,3,60000,60,70,1,0,0,0,0,0,1,1,1,1,0,103153
1841,3,6,4,260000,50,125,1,0,0,0,0,0,1,1,1,1,0,307058
1842,3,7,4,205000,50,119,1,0,0,0,1,0,1,1,1,1,0,159841
1866,1,2,3,95000,40,60,0,0,1,0,0,0,1,1,1,1,0,93827
1888,4,9,4,19750,50,20,1,0,0,0,0,0,1,0,1,1,0,34455
1897,3,7,3,94000,50,52,1,0,0,0,0,0,1,1,1,1,1,63468
1927,1,1,1,116000,40,65,0,1,1,0,0,0,1,1,0,1,0,79467
1957,4,9,4,15000,50,15,1,0,0,0,1,0,1,0,1,1,0,14367
1981,4,8,2,240000,70,130,1,1,0,0,1,0,1,1,1,1,1,227390
1987,2,3,1,210000,30,25,1,0,0,0,1,0,1,1,1,1,0,80793
2013,2,3,3,172000,60,60,1,0,0,0,1,1,1,1,1,0,1,177388
2021,3,5,3,106000,55,142,1,0,0,0,1,1,1,1,1,0,0,130265
2027,1,2,3,88000,60,120,1,1,0,0,0,0,1,1,0,1,0,81969
2029,3,7,5,425000,45,246,1,0,0,0,1,0,1,0,1,1,0,336108
2035,4,9,2,425000,65,100,1,0,0,0,1,1,1,0,1,0,0,347265
2105,2,3,2,400000,88,200,1,0,0,1,1,0,1,1,0,1,0,330589
2109,3,6,4,102000,60,60,1,0,0,0,1,0,1,1,1,1,0,258085
2120,4,8,2,74000,56,8,1,1,0,0,1,0,0,0,1,1,0,108552
2140,1,1,1,180000,86,125,0,1,1,0,0,0,1,0,0,1,0,262847
2141,3,6,4,99000,45,40,1,0,0,0,1,0,1,1,1,0,0,74136
2167,2,3,2,310000,43,135,1,0,0,0,0,0,1,1,0,1,1,277621
2172,1,2,2,130000,45,50,1,0,0,0,1,1,1,1,1,0,0,112613
2179,1,2,2,128000,45,50,1,0,0,0,1,1,1,1,0,1,0,64674
2194,3,5,4,39000,45,15,0,0,1,0,0,0,1,1,1,0,0,56791
2223,2,3,2,73000,50,100,1,0,0,0,1,1,1,1,1,0,0,51264
2227,2,3,1,168000,45,55,1,0,0,0,1,1,1,1,1,1,1,162628
2246,3,7,5,78000,45,25,1,0,0,0,1,0,1,1,1,0,0,69066
2247,2,3,2,198000,39,90,1,1,0,0,1,0,1,1,1,1,0,192133
2255,3,6,4,142000,45,75,1,1,0,0,1,0,1,1,0,1,0,191920
2258,4,8,5,300000,60,175,1,1,0,1,0,0,1,1,1,1,1,264968
2308,4,8,2,37500,42,90,1,1,1,0,1,0,1,0,1,0,0,84674
2387,3,5,5,186000,70,100,0,0,1,0,0,0,1,1,1,1,0,202342
2389,3,5,5,150000,55,70,1,0,0,0,1,0,1,1,1,1,0,158167
2407,3,5,5,134000,38,250,0,0,1,0,0,0,1,1,1,1,0,61515
2423,4,9,1,78000,65,50,0,1,0,0,0,0,1,1,1,1,0,86604
2448,4,9,5,3600,37,4,1,0,0,0,1,0,1,0,1,1,0,6649
2495,3,5,3,152000,60,100,1,1,0,0,1,0,1,1,1,0,0,430612
2530,3,7,5,16500,70,31,0,0,0,0,0,0,1,1,0,0,0,14215
2591,3,6,4,108000,60,51,1,0,0,0,1,0,1,1,1,0,0,151764
2623,2,3,2,130000,45,45,0,1,0,0,0,0,1,1,1,1,0,118963
2655,3,7,5,600000,75,100,1,0,0,0,1,0,1,1,1,1,1,667168
2669,2,3,2,205000,50,200,1,0,0,0,1,0,1,0,0,1,0,129447
2697,4,8,2,240000,90,145,1,0,0,0,1,0,1,1,1,1,1,404645
2703,2,3,3,50000,65,25,0,1,0,0,0,0,1,1,1,0,0,91645
2713,3,5,5,415000,80,100,1,1,0,0,0,0,1,1,1,0,0,683496
2718,3,6,4,24500,45,9,1,1,0,0,1,0,1,1,1,0,0,14959
2739,1,2,2,220000,60,300,1,1,0,0,1,0,1,1,1,0,0,356473
2742,3,5,5,41500,45,11,0,0,1,0,0,0,1,0,1,0,0,22594
2794,3,7,5,360000,60,300,1,1,0,0,1,0,1,1,1,1,0,284660
2806,2,3,3,420000,84,200,1,0,0,0,1,0,1,1,1,1,0,365542
2816,1,1,2,20000,40,7,1,0,0,0,1,0,1,1,1,1,0,16296
2840,3,7,4,94000,70,80,1,0,0,0,1,1,1,1,0,0,0,54644
2855,4,8,3,28000,40,25,1,0,0,0,1,0,1,1,1,1,0,29136
2863,3,7,5,1500,40,2,0,0,0,0,0,0,0,0,1,0,0,2014
2883,2,3,2,77000,70,70,1,0,1,0,1,0,1,1,1,1,0,93346
2903,3,6,3,265000,40,125,1,0,1,0,0,0,1,0,1,0,0,433856
2916,3,7,5,400000,60,125,1,1,0,0,1,0,1,1,1,0,0,296385
2934,3,7,4,59000,50,60,1,0,0,0,1,0,1,1,0,1,0,26462
2935,3,7,5,63000,45,100,1,0,0,0,1,0,1,1,1,0,0,42395
2974,2,4,2,140000,40,60,1,0,0,0,1,0,1,1,1,1,0,82096
3005,3,5,4,70000,60,100,1,0,0,0,1,0,1,1,0,0,0,175494
3015,2,4,2,305000,40,300,1,0,0,0,1,0,1,0,1,1,1,364712
3047,1,2,2,500001,60,300,1,0,0,0,1,0,1,1,1,1,0,543696
3054,2,3,3,68000,40,35,0,1,1,0,0,0,1,1,1,0,0,72453
3055,4,9,4,52000,40,45,1,0,0,1,0,0,1,1,0,1,1,76478
3119,1,2,2,220000,60,130,1,0,0,0,1,1,1,1,1,0,0,181105
3138,3,5,3,130000,60,125,1,0,0,0,1,0,1,1,1,0,0,200112
3152,2,3,2,480000,18,125,1,0,0,0,1,0,1,1,1,1,0,433828
3180,1,2,2,310000,75,225,1,1,0,0,1,0,1,1,1,1,0,172759
3199,3,6,4,84000,40,10,1,0,0,0,1,0,1,1,1,1,0,88776
3203,1,1,2,225000,100,200,1,0,0,0,1,1,1,0,0,0,0,247066
3292,1,2,2,220000,100,120,1,0,0,0,1,1,1,1,1,1,0,302055
3381,3,5,3,140000,60,90,1,0,0,0,1,1,1,1,1,1,0,216229
3420,3,7,5,250000,50,315,1,0,0,0,1,0,1,0,1,1,1,330310
3436,1,2,2,168000,45,115,1,1,0,0,1,0,1,1,1,0,0,165880
3439,4,9,4,52000,60,45,1,0,0,0,1,0,1,0,0,1,0,153658
3486,4,9,4,100000,68,40,1,0,0,1,1,0,1,1,1,1,1,104960
3527,2,3,3,126000,80,50,1,0,0,0,1,0,1,1,1,0,0,107184
3556,4,9,1,25000,40,30,1,0,0,0,1,0,1,1,1,0,0,26032
3573,3,7,5,53000,45,40,1,0,0,0,0,0,1,1,1,0,0,61011
3581,4,9,3,92000,70,45,1,0,0,0,1,0,1,1,1,1,0,87561
3693,3,7,5,100000,40,45,1,0,0,0,0,0,1,0,1,1,0,224055
3800,1,1,2,215000,80,135,0,1,1,0,0,0,1,1,0,1,1,354542
3837,4,9,4,1200,40,2,0,0,0,0,0,0,1,0,1,1,0,765
3839,3,5,3,100000,40,30,0,1,0,0,0,0,1,1,1,1,0,80160
3859,4,8,5,152000,60,100,0,0,0,0,0,0,1,1,1,1,1,242571
3870,2,4,3,150000,45,45,0,1,1,0,0,0,1,1,1,1,0,166501
3932,3,7,5,15000,55,15,0,0,0,0,0,0,1,0,1,0,0,14408
3962,2,4,2,100000,55,50,1,0,0,0,1,0,1,1,0,1,0,60220
3970,2,3,3,116000,45,45,0,0,1,1,0,0,1,1,1,1,0,97482
4017,3,6,4,19750,40,30,1,0,0,0,1,0,1,0,1,0,0,17426
4045,3,5,5,7200,10,1,0,0,0,0,0,0,1,0,1,0,0,9643
4057,4,9,4,87000,50,50,1,0,0,0,1,0,1,0,1,1,0,197732
4058,4,9,3,194000,50,40,1,0,0,0,1,0,1,1,1,1,0,328030
4068,1,2,3,40500,55,50,1,0,0,0,1,0,1,1,1,1,0,39487
4076,3,6,4,380000,80,175,1,1,0,0,0,0,1,1,1,1,0,264912
4128,4,8,2,85000,56,100,1,1,0,0,1,0,1,1,0,1,1,108489
4130,2,3,3,116000,55,80,1,0,0,0,0,0,1,1,1,1,0,103681
4135,1,2,3,480000,45,350,1,1,0,1,1,0,1,1,1,1,0,558257
4142,4,9,4,41000,45,40,1,0,0,0,1,0,1,1,1,0,0,39140
4147,2,4,2,110000,45,35,1,0,0,0,1,0,1,1,1,0,0,103140
4165,4,8,5,142000,45,150,1,0,0,0,1,1,1,1,1,0,0,284063
4196,4,9,4,3600,40,2,0,0,0,0,0,0,1,0,1,0,0,5220
4198,3,5,5,6000,70,30,0,0,0,0,0,0,0,0,1,0,0,11330
4227,1,1,2,180000,35,60,1,0,0,0,1,0,1,1,1,1,0,157508
4229,3,7,3,365000,67,138,1,0,0,0,0,1,1,1,1,1,0,297097
4266,3,6,4,100000,45,40,1,0,0,0,1,0,1,1,1,0,0,144075
4325,2,3,2,235000,43,200,1,0,0,0,0,0,1,1,0,0,0,230863
4326,2,4,3,81000,50,40,0,0,1,0,0,0,1,1,1,1,0,38123
4351,3,5,3,63000,60,53,1,0,0,0,1,1,1,1,1,0,0,68141
4451,4,9,4,7200,35,4,1,0,0,0,1,0,1,0,0,1,0,4851
4459,1,2,3,168000,78,100,1,1,0,0,1,0,1,1,0,1,0,132495
4496,2,3,2,118000,50,50,1,0,0,0,1,0,1,1,1,1,0,85686
4501,1,2,2,210000,40,124,0,1,0,0,0,0,1,1,1,0,0,129922
4517,4,9,4,1500,50,6,1,0,0,0,0,0,1,0,0,1,0,1655
4531,3,6,4,45000,45,20,1,0,0,0,1,0,1,1,1,0,0,38436
4539,3,7,5,182000,75,75,0,0,0,0,0,0,1,1,1,0,0,241901
4579,2,4,2,17250,50,2,0,0,1,0,0,0,1,1,1,1,0,13029
4612,3,6,4,75000,35,80,1,0,0,0,1,0,1,1,1,0,0,73721
4639,3,5,3,94000,60,70,1,0,0,0,1,0,1,1,1,1,0,126412
4658,4,8,1,2100,33,6,0,0,0,0,0,0,0,1,1,0,0,1042
4662,3,7,5,230000,60,100,1,0,0,0,1,0,1,1,1,1,0,284271
4675,2,3,3,79000,45,11,1,0,0,0,1,1,1,1,1,1,0,69755
4689,2,3,3,150000,60,125,1,1,0,0,1,1,1,0,1,1,0,204020
4700,2,3,2,31000,45,13,1,0,0,0,1,0,1,1,1,0,0,27803
4712,3,7,5,400000,66,118,1,0,0,0,1,0,1,0,1,0,0,487540
4755,4,9,4,68000,40,60,0,0,0,0,0,0,1,0,0,1,0,85110
4767,2,3,2,260000,65,50,1,0,0,0,1,1,1,0,1,1,0,207004
4894,1,2,3,250000,101,120,1,0,0,0,1,0,1,1,1,1,0,419121
4896,3,5,5,380000,50,200,0,1,0,0,0,0,1,1,1,0,0,495302
4919,2,3,1,91000,60,80,1,1,0,0,1,0,1,1,1,1,0,52060
4923,3,6,3,164000,80,350,1,0,0,0,0,0,1,1,1,1,0,274341
4929,3,5,4,280000,60,120,1,0,0,0,0,0,1,1,1,0,0,267854
4948,2,3,2,98000,85,70,1,0,0,0,1,0,1,0,1,0,0,108764
4978,3,5,4,10500,40,12,0,0,0,0,0,0,1,0,0,0,0,18884
4980,3,5,5,67000,45,75,0,0,0,0,0,0,1,0,1,0,0,92798
4985,3,5,5,16500,75,35,1,0,1,0,0,0,1,0,1,0,0,24847
5009,4,9,1,68000,50,75,0,0,0,0,0,0,1,1,1,1,0,65767
5023,3,7,5,144000,68,40,1,0,0,0,0,0,1,1,1,0,0,147485
5042,2,3,3,30000,40,45,0,0,0,0,0,0,1,1,1,0,0,37923
5092,1,1,1,7200,35,4,0,0,0,0,0,0,0,0,1,0,0,18206
5103,1,2,3,186000,50,500,1,1,0,0,0,0,1,1,1,1,0,133109
5122,3,5,4,182000,75,84,0,1,1,0,0,0,1,1,1,1,1,208532
5137,4,9,4,1900,35,2,0,0,0,0,0,0,1,0,1,0,0,3706
5160,4,9,4,48000,40,55,1,0,0,0,0,0,1,0,1,1,0,71025
5166,2,4,2,51000,40,35,1,0,0,0,0,0,1,0,1,0,0,65168
5201,4,9,4,48000,40,50,1,0,0,0,1,0,1,0,0,1,0,195568
5229,3,6,4,45500,40,57,1,0,0,0,1,0,1,1,1,0,0,56383
5231,3,6,4,215000,55,150,1,0,0,0,1,0,1,1,1,1,0,236031
5259,3,7,5,178000,45,200,0,0,0,0,0,0,1,1,0,1,1,133959
5260,3,7,5,350000,50,200,1,0,0,0,1,0,1,0,1,1,0,343925
5261,1,2,2,114000,40,80,0,1,0,0,0,0,1,1,1,0,0,79681
